id,group,theta,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10
1,LowVVIQ,-0.5604756465522126,1,4,3,1,5,1,1,1,1,2
2,LowVVIQ,-0.23017748948327996,2,1,4,2,4,4,2,2,1,1
3,HighVVIQ,1.558708314149124,5,5,5,5,5,5,3,5,5,4
4,HighVVIQ,0.070508391424576,2,3,5,4,4,4,4,4,5,1
5,HighVVIQ,0.12928773516094624,5,2,5,3,4,3,5,1,2,2
6,HighVVIQ,1.715064986883281,5,5,5,5,5,5,4,4,5,5
7,HighVVIQ,0.4609162059892023,5,4,5,4,4,4,5,3,4,3
8,LowVVIQ,-1.265061234606534,1,1,2,1,4,1,3,1,2,1
9,LowVVIQ,-0.6868528518935261,2,2,2,2,3,2,3,1,1,1
10,LowVVIQ,-0.44566197009995806,1,2,4,4,1,4,3,2,3,1
11,HighVVIQ,1.2240817974394615,5,5,5,5,5,5,4,3,5,5
12,HighVVIQ,0.3598138270573638,4,3,3,4,2,5,3,2,2,2
13,HighVVIQ,0.40077145059405217,3,5,5,3,2,2,4,4,5,2
14,HighVVIQ,0.1106827159451197,2,5,4,2,4,4,5,1,3,2
15,LowVVIQ,-0.5558411347540749,5,3,5,3,4,1,2,1,2,1
16,HighVVIQ,1.7869131368030782,5,5,5,5,5,5,5,5,5,5
17,HighVVIQ,0.4978504782292394,2,5,5,5,3,5,4,2,4,3
18,LowVVIQ,-1.9666171566296382,1,1,1,1,1,1,3,1,1,1
19,HighVVIQ,0.7013559015636855,5,3,4,5,3,5,4,2,3,2
20,LowVVIQ,-0.47279140772793404,1,3,4,2,4,2,4,1,3,2
21,LowVVIQ,-1.0678237059868452,1,1,4,3,3,1,1,1,1,1
22,LowVVIQ,-0.21797491465829513,3,3,2,4,2,4,4,1,2,1
23,LowVVIQ,-1.0260044483072397,2,1,4,1,1,2,3,1,1,1
24,LowVVIQ,-0.7288912292911403,2,3,5,1,4,1,2,1,1,1
25,LowVVIQ,-0.6250392678492567,1,4,2,1,3,2,1,1,3,1
26,LowVVIQ,-1.6866933107424134,1,1,2,1,1,1,1,1,2,1
27,HighVVIQ,0.8377870444945247,5,5,5,5,5,5,5,4,4,2
28,HighVVIQ,0.15337311783651522,4,5,5,3,5,2,4,1,4,4
29,LowVVIQ,-1.1381369370119476,1,1,4,1,3,2,2,1,3,1
30,HighVVIQ,1.2538149210699268,5,5,5,5,5,5,5,3,5,3
31,HighVVIQ,0.42646422147681357,5,5,4,5,3,1,4,2,4,2
32,LowVVIQ,-0.29507148299227115,2,3,3,2,3,4,3,2,5,2
33,HighVVIQ,0.8951256610450222,5,5,5,5,5,5,5,3,4,5
34,HighVVIQ,0.8781334875330422,5,5,5,5,5,5,5,3,5,3
35,HighVVIQ,0.8215810816374871,5,5,4,5,3,5,4,2,5,3
36,HighVVIQ,0.688640254100091,2,5,2,5,4,5,5,2,4,3
37,HighVVIQ,0.5539176535375888,5,5,5,5,5,5,5,2,5,3
38,LowVVIQ,-0.06191171057672168,4,4,5,3,4,4,4,2,2,1
39,LowVVIQ,-0.30596266373991676,1,4,3,2,2,3,4,3,3,3
40,LowVVIQ,-0.3804710010123827,3,5,5,3,3,2,4,1,2,1
41,LowVVIQ,-0.6947069789205127,1,1,3,2,2,2,3,1,1,1
42,LowVVIQ,-0.20791727801959878,4,2,5,4,4,3,3,1,4,1
43,LowVVIQ,-1.2653963515682645,1,2,3,1,4,1,3,1,2,1
44,HighVVIQ,2.1689559653385126,5,5,5,5,5,5,5,5,5,5
45,HighVVIQ,1.2079619983049905,5,5,4,4,5,5,5,3,5,3
46,LowVVIQ,-1.1231085832033492,2,2,4,1,2,1,2,2,1,1
47,LowVVIQ,-0.402884835299076,4,4,3,2,1,1,5,2,1,1
48,LowVVIQ,-0.46665535362321886,5,3,2,1,3,3,3,1,1,3
49,HighVVIQ,0.7799651183363179,5,5,5,4,4,5,1,3,5,5
50,LowVVIQ,-0.08336906647182928,1,4,4,4,5,5,5,1,1,1
51,HighVVIQ,0.2533185139947548,4,5,5,4,1,5,3,2,4,3
52,LowVVIQ,-0.028546755348703018,3,4,3,4,5,4,5,2,2,1
53,LowVVIQ,-0.04287045729131609,3,5,4,4,5,4,4,2,1,1
54,HighVVIQ,1.3686022840144576,5,5,5,5,5,5,5,3,5,4
55,LowVVIQ,-0.22577098565926762,4,5,5,2,4,2,2,4,2,1
56,HighVVIQ,1.5164706044295397,5,5,5,5,5,5,4,5,5,5
57,LowVVIQ,-1.5487528042302212,1,1,4,1,3,1,3,1,3,1
58,HighVVIQ,0.5846137496360692,5,5,5,5,4,5,3,3,5,3
59,HighVVIQ,0.12385424384461378,3,4,4,3,5,5,2,3,5,4
60,HighVVIQ,0.21594156874397272,4,4,5,2,5,5,5,3,5,4
61,HighVVIQ,0.3796394827598821,2,5,5,5,5,5,4,1,5,1
62,LowVVIQ,-0.5023234531093023,1,3,5,3,2,2,5,3,1,1
63,LowVVIQ,-0.3332073836694201,1,4,1,2,3,2,4,1,3,2
64,LowVVIQ,-1.0185753831070887,1,1,3,1,2,1,2,1,1,1
65,LowVVIQ,-1.0717912264755778,1,1,3,3,2,1,2,1,1,1
66,HighVVIQ,0.30352864140425806,4,4,5,5,5,4,5,1,3,3
67,HighVVIQ,0.4482097786294262,5,5,3,4,5,4,3,2,3,5
68,HighVVIQ,0.053004226730504145,3,4,5,3,4,2,5,1,5,2
69,HighVVIQ,0.9222674678797376,4,3,5,3,5,5,5,1,5,5
70,HighVVIQ,2.0500846856271444,5,5,5,5,5,5,5,5,5,3
71,LowVVIQ,-0.4910311660565353,2,3,5,5,4,3,5,2,2,3
72,LowVVIQ,-2.3091688756408124,1,1,2,1,1,1,1,1,1,1
73,HighVVIQ,1.0057385244622565,5,5,4,5,5,4,5,3,5,5
74,LowVVIQ,-0.7092007625823926,1,1,5,1,1,2,4,1,1,2
75,LowVVIQ,-0.688008616467358,1,2,2,1,3,1,5,1,1,1
76,HighVVIQ,1.0255713696966988,5,5,5,5,4,5,5,4,4,3
77,LowVVIQ,-0.2847730070510089,4,5,5,3,3,3,5,3,2,2
78,LowVVIQ,-1.2207177122545356,2,1,4,1,1,2,2,1,1,1
79,HighVVIQ,0.1813034797491502,3,5,4,5,3,4,2,2,5,2
80,LowVVIQ,-0.13889136243904462,1,4,5,2,3,3,5,1,4,3
81,LowVVIQ,0.005764185899886933,5,4,3,4,5,5,2,4,4,2
82,HighVVIQ,0.3852804011263305,4,5,5,5,4,5,3,1,5,1
83,LowVVIQ,-0.37066003179240936,2,2,4,2,2,3,4,3,2,2
84,HighVVIQ,0.644376548518833,5,5,5,5,5,4,4,2,3,3
85,LowVVIQ,-0.22048656181875062,1,5,5,4,5,5,5,1,1,2
86,HighVVIQ,0.3317819639156969,3,4,5,3,5,3,5,3,2,1
87,HighVVIQ,1.0968390131493477,4,5,5,5,4,5,5,2,4,4
88,HighVVIQ,0.43518149083380286,3,3,5,3,5,5,5,3,2,1
89,LowVVIQ,-0.32593158553122675,3,4,5,2,2,2,4,2,3,1
90,HighVVIQ,1.1488076184510938,4,5,5,5,5,5,5,3,4,2
91,HighVVIQ,0.9935038559621194,5,5,3,5,5,5,5,1,5,4
92,HighVVIQ,0.54839695950807,5,4,5,4,5,5,4,3,5,1
93,HighVVIQ,0.2387317351114412,3,5,4,5,4,4,5,1,3,4
94,LowVVIQ,-0.6279060760393714,2,1,2,1,3,2,2,1,1,1
95,HighVVIQ,1.3606524485300076,5,5,5,5,5,5,5,2,5,4
96,LowVVIQ,-0.6002595871471269,3,4,5,5,3,3,1,1,2,2
97,HighVVIQ,2.1873329930165766,5,5,5,5,5,5,5,3,5,5
98,HighVVIQ,1.5326106261851893,5,5,5,5,5,5,4,5,5,5
99,LowVVIQ,-0.23570035910047687,3,2,4,2,4,5,3,2,3,1
100,LowVVIQ,-1.0264209003067808,3,1,3,2,3,1,2,1,1,1
101,LowVVIQ,-0.710406563699301,3,3,5,1,2,1,4,3,2,1
102,HighVVIQ,0.2568837091565295,5,4,5,4,3,3,3,4,4,2
103,LowVVIQ,-0.24669187846237361,2,1,3,2,2,3,3,3,4,1
104,LowVVIQ,-0.3475425993977332,3,5,3,4,2,3,1,1,3,1
105,LowVVIQ,-0.9516185672650157,2,2,4,2,2,1,4,2,2,1
106,LowVVIQ,-0.04502772480892027,2,3,1,5,3,4,5,1,3,1
107,LowVVIQ,-0.7849044694570758,1,1,4,4,3,1,3,1,2,1
108,LowVVIQ,-1.6679419365881367,1,2,1,1,1,1,4,1,1,1
109,LowVVIQ,-0.38022652028776244,1,5,4,4,1,1,3,1,2,1
110,HighVVIQ,0.918996609060766,5,5,5,3,5,5,4,2,5,2
111,LowVVIQ,-0.5753469626083919,2,4,5,2,4,2,3,2,1,1
112,HighVVIQ,0.6079643222250334,5,5,5,5,5,4,5,2,3,3
113,LowVVIQ,-1.617882708289164,1,1,2,1,1,1,1,1,1,1
114,LowVVIQ,-0.05556196552453944,2,3,5,4,3,3,2,1,1,1
115,HighVVIQ,0.5194072039434623,5,3,4,3,4,4,4,1,4,2
116,HighVVIQ,0.3011533621667144,5,4,5,4,3,2,5,2,5,3
117,HighVVIQ,0.10567619414894333,5,5,5,4,5,3,1,2,2,3
118,LowVVIQ,-0.6407060083053764,1,2,4,1,1,2,1,1,2,1
119,LowVVIQ,-0.8497043460335822,3,2,1,1,2,1,3,1,1,1
120,LowVVIQ,-1.0241287906049132,1,1,3,2,1,1,4,1,2,1
121,HighVVIQ,0.11764659710012587,4,2,3,4,3,5,3,2,3,1
122,LowVVIQ,-0.9474746141848022,2,3,2,2,2,2,4,2,3,2
123,LowVVIQ,-0.49055744370066834,2,1,5,2,2,1,2,2,2,1
124,LowVVIQ,-0.25609219219824725,3,3,1,4,3,2,3,4,5,3
125,HighVVIQ,1.8438620052322074,5,5,5,5,5,5,5,3,5,5
126,LowVVIQ,-0.6519499016954585,3,2,5,1,1,3,3,1,1,3
127,HighVVIQ,0.23538657228485693,5,5,4,5,4,4,4,2,5,1
128,HighVVIQ,0.07796084956371077,5,3,5,1,5,3,3,1,4,3
129,LowVVIQ,-0.9618566341301286,2,1,3,1,1,1,3,2,1,1
130,LowVVIQ,-0.07130808612359867,3,2,5,2,2,4,3,1,4,3
131,HighVVIQ,1.4445508584233488,4,5,5,5,5,5,3,4,5,3
132,HighVVIQ,0.45150405307921465,5,4,4,5,5,5,3,2,4,5
133,HighVVIQ,0.04123292199293993,3,5,4,4,4,4,4,1,3,2
